							
END 2023							
lokakuu	1vk						
luokka	ma	ti	ke	to	pe	la	su
stockmann	129.8		19.9		9.38		
ruoka	30.15		2.86			21.78	23
							
kodintarv	15.75					19.9	
viihde	30						
subway	40.6						
kahvila	14.69						
laake		3.61				4.5	
noutoruoka		20			10.75		
sahko						28.72	
END							
lokakuu	2vk						
luokka	ma	ti	ke	to	pe	la	su
netflix	7.99						
ruoka		16.01	2.5	7.31	20	25.06	15.14
kodintarv		2.29	0.65				
laake		6.93					
kosmetiikka			15.99				26.9
							
							
							
							
							
END							
lokakuu	3vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	16.58	9.05		27.53	10.66		
kodintarv	2.05				2.4		
kosmetiikka		20.3					
kirjat		36.67					
							
							
							
							
							
							
END							
lokakuu	4vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	23.41		17.48	13.13		9.63	8.87
noutoruoka	5.6						
herkut			4.75				
normal			8.6	23.9			
kosmetiikka				11.86			
elektroniikka				10.96			
kasvit							23.4
							
							
							
END							
lokakuu	5vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	13.84						
noutoruoka	11.95						
							
							
							
							
							
							
							
							
END							
marraskuu	1vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	5.98		1.98		9.26	18.88	10.5
kosmetiikka	120.9		30.1			44	
kodintarv		15.99	1.5				
vaatteet		165.18					
							
							
							
							
							
							
END							
marraskuu	2vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka		11.58		21.53	8.52	15.76	2.69
kodintarv			18	3.49		8.95	
							
							
							
							
							
							
							
							
END							
marraskuu	3vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka		5.74		12.05	21.19		25.12
taksi	21.6						
sahko	30.65						
kodintarv			1.99				8.72
laake			20.06				
noutoruoka					9.5		
							
							
							
							
END							
marraskuu	4vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	20.01	18.26	8.33	15.36		11.32	
noutoruoka				11.95			
kodintarv				2.05			3.9
vaatteet						123.19	
							
							
							
							
							
							
END							
marraskuu	5vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka		7.89	8.7				
herkut			3.67				
							
							
							
							
							
							
							
							
END							
joulukuu	1vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka				33.67	6.63		
kosmetiikka				5.1			
joulu				45.6		12.65	
kodintarv						14.05	
ikea							58.25
							
							
							
							
							
END							
joulukuu	2vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	50.79		24.09	17.81		2.69	
joulu		22.6					
noutoruoka					11.88		12.9
kodintarv					101.7		
laake						4.5	
							
							
							
							
							
END							
joulukuu	3vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	25.46		12.95			1.79	29.75
noutoruoka	7.9				9.5		
kodintarv			11.15				
							
							
							
							
							
							
							
END							
joulukuu	4vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	9.17	9.33	24.81		19.2	3.39	9.67
kodintarv				18			
retkeily						71.91	
							
							
							
							
							
							
							
END							
joulukuu	5vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka		11.28	10.57		22.52	31.06	3
vaatteet		81.91			54.5		
ravintola		30.6					
							
kasvit							22.5
kodintarv							12.9
							
							
							
							
END 2024							
tammikuu	1vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka		21.71	24.95	14.47		39.51	
kodintarv		15.95					
laake			6.03				
							
							
							
							
							
							
							
END							
tammikuu	2vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka			29.17			25.78	3.43
kodintarv			3.19			4.5	9.51
sahko				29.32			
noutoruoka						12	
kosmetiikka							5.6
							
							
							
							
							
END							
tammikuu	3vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	19.32		13.13	2.35	5.67	28.85	11.98
vaatteet	38.28			16.2			54.8
noutoruoka				9.5			
kodintarv							5.24
sisustus							20.97
							
							
							
							
							
END							
tammikuu	4vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	10.39		18.74	8.89			17.27
laake			4.5				
kodintarv				20.97			
ravintola					13.97		
sisustus						24.94	
kasvit							15.3
kosmetiikka							25.4
							
							
							
END							
tammikuu	5vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	13.55						
							
							
							
							
							
							
							
							
							
END							
helmikuu	1vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka			24.94	27.33		36.52	
laake			7.48			9	
							
							
							
							
							
							
							
							
END							
helmikuu	2vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	18.08	37.13	2.98	17.93	5.8		30.41
laake	20.06						
kodintarv	27.79	28.98			4.6		
kosmetiikka				11.2			
pelit ja lelut					49.45		
							
							
							
							
							
END							
helmikuu	3vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka		26.7	19.42		6.31	19.83	
kodintarv		1.99	5.94		94.5		
							
							
							
							
							
							
							
							
END							
helmikuu	4vk						
luokka	ma	ti	ke	to	pe	la	su
ruoka	10.87		26.27	9.5		19.54	15.82
kosmetiikka	27.52						
